Repository URL,Commit ID
"['https://gitbox.apache.org/repos/asf/struts.git', '2306f5f7fad7f0157f216f34331238feb0539fa']","['https://gitbox.apache.org/repos/asf/struts.git', '637ad1c3707266c33daabb18d7754e795e6681f']"
"['https://github.com/FasterXML/jackson-databind', '73c1c2cc76e6cdd7f3a5615cbe3207fe96e4d3db']","['https://github.com/FasterXML/jackson-databind', 'd4983c740fec7d5576b207a8c30a63d3ea7443de']"
"['https://github.com/spring-projects/spring-framework', 'ab2410c754b67902f002bfcc0c3895bd7772d39']","['https://github.com/spring-projects/spring-framework', 'e02ff3a0da50744b0980d5d665fd242eedea767']"
"['https://github.com/apache/struts', '3cfe34fefedcf0fdcfcb061c0aea34a715b7de6']","['https://github.com/apache/struts', '630e1ba065a8215c4e9ac03bfb09be9d655c2b6e']"
"['https://github.com/spring-projects/spring-framework', '1db7e02de3eb0c011ee6681f5a12eb9d166fea8']","['https://github.com/spring-projects/spring-framework', 'd3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6']"
"['https://github.com/spring-projects/spring-framework.git', '2ae6a6a3415eebc57babcb9d3e5505887eda6d8']","['https://github.com/spring-projects/spring-framework.git', '7387cb990e35b0f1b573faf29d4f9ae183d7a5e']"
"['https://github.com/micronaut-projects/micronaut-core', '9d1eff5c8df1d6cda1fe00ef046729b2a6abe7f1']","['https://github.com/micronaut-projects/micronaut-core', '6deb60b75517f80c57b42d935f07955c773b766d']"
"['https://github.com/apache/zookeeper', '75411ab34a3d53c43c2d508b12314a9788aa417']","['https://github.com/apache/zookeeper', '6d9fc04c052adbc79bbbb1c63f3f00c816fb8e5']"
"['https://github.com/spring-projects/spring-framework.git', '8e096aeef55287dc829484996c9330cf755891a1']","['https://github.com/spring-projects/spring-framework.git', 'c6503ebbf7c9e21ff022c58706dbac5417b2b5eb']"
"['https://github.com/apache/karaf', '3e4c4bed2d08e81ca5961ab5fcadab23470db1c']","['https://github.com/apache/karaf', '2ccfba48bdfac6c2cd09c8f058641da0011e4c7']"
"['https://github.com/cloudfoundry/uaa', '3f0730a015d10166de23b7e036743c185f0576a6']","['https://github.com/cloudfoundry/uaa', '95b7d9e7fae534a362b98de1df5bf501cd52c481']"
